RM,Capital,UF,Municipio_Acentuado,Municipio
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,BRASÍLIA,BRASILIA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,ABADIÂNIA,ABADIANIA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,ÁGUA FRIA DE GOIÁS,AGUA FRIA DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,ÁGUAS LINDAS DE GOIÁS,AGUAS LINDAS DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,ALEXÂNIA,ALEXANIA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,ALTO PARAÍSO DE GOIÁS,ALTO PARAISO DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,ALVORADA DO NORTE,ALVORADA DO NORTE
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,BARRO ALTO,BARRO ALTO
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,CABECEIRAS,CABECEIRAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,CAVALCANTE,CAVALCANTE
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,CIDADE OCIDENTAL,CIDADE OCIDENTAL
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,COCALZINHO DE GOIÁS,COCALZINHO DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,CORUMBÁ DE GOIÁS,CORUMBA DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,CRISTALINA,CRISTALINA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,FLORES DE GOIÁS,FLORES DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,FORMOSA,FORMOSA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,GOIANÉSIA,GOIANESIA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,LUZIÂNIA,LUZIANIA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,MIMOSO DE GOIÁS,MIMOSO DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,NIQUELÂNDIA,NIQUELANDIA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,NOVO GAMA,NOVO GAMA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,PADRE BERNARDO,PADRE BERNARDO
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,PIRENÓPOLIS,PIRENOPOLIS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,PLANALTINA,PLANALTINA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,SANTO ANTÔNIO DO DESCOBERTO,SANTO ANTONIO DO DESCOBERTO
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,SÃO JOÃO D'ALIANÇA,SAO JOAO D'ALIANCA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,SIMOLÂNDIA,SIMOLANDIA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,VALPARAÍSO DE GOIÁS,VALPARAISO DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,VILA BOA,VILA BOA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,ARINOS,ARINOS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,BURITIS,BURITIS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,CABECEIRA GRANDE,CABECEIRA GRANDE
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,UNAÍ,UNAI
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,VILA PROPÍCIO,VILA PROPICIO
Região Metropolitana de Goiânia,Goiânia,GOIAS,ABADIA DE GOIÁS,ABADIA DE GOIAS
Região Metropolitana de Goiânia,Goiânia,GOIAS,APARECIDA DE GOIÂNIA,APARECIDA DE GOIANIA
Região Metropolitana de Goiânia,Goiânia,GOIAS,ARAGOIÂNIA,ARAGOIANIA
Região Metropolitana de Goiânia,Goiânia,GOIAS,BELA VISTA DE GOIÁS,BELA VISTA DE GOIAS
Região Metropolitana de Goiânia,Goiânia,GOIAS,BONFINÓPOLIS,BONFINOPOLIS
Região Metropolitana de Goiânia,Goiânia,GOIAS,BRAZABRANTES,BRAZABRANTES
Região Metropolitana de Goiânia,Goiânia,GOIAS,CALDAZINHA,CALDAZINHA
Região Metropolitana de Goiânia,Goiânia,GOIAS,CATURAÍ,CATURAI
Região Metropolitana de Goiânia,Goiânia,GOIAS,GOIANÁPOLIS,GOIANAPOLIS
Região Metropolitana de Goiânia,Goiânia,GOIAS,GOIÂNIA,GOIANIA
Região Metropolitana de Goiânia,Goiânia,GOIAS,GOIANIRA,GOIANIRA
Região Metropolitana de Goiânia,Goiânia,GOIAS,GUAPÓ,GUAPO
Região Metropolitana de Goiânia,Goiânia,GOIAS,HIDROLÂNDIA,HIDROLANDIA
Região Metropolitana de Goiânia,Goiânia,GOIAS,INHUMAS,INHUMAS
Região Metropolitana de Goiânia,Goiânia,GOIAS,NERÓPOLIS,NEROPOLIS
Região Metropolitana de Goiânia,Goiânia,GOIAS,NOVA VENEZA,NOVA VENEZA
Região Metropolitana de Goiânia,Goiânia,GOIAS,SANTA BÁRBARA DE GOIÁS,SANTA BARBARA DE GOIAS
Região Metropolitana de Goiânia,Goiânia,GOIAS,SANTO ANTÔNIO DE GOIÁS,SANTO ANTONIO DE GOIAS
Região Metropolitana de Goiânia,Goiânia,GOIAS,SENADOR CANEDO,SENADOR CANEDO
Região Metropolitana de Goiânia,Goiânia,GOIAS,TEREZÓPOLIS DE GOIÁS,TEREZOPOLIS DE GOIAS
Região Metropolitana de Goiânia,Goiânia,GOIAS,TRINDADE,TRINDADE
Região Metropolitana do Vale do Rio Cuiabá,Cuiabá,MATO GROSSO,BARÃO DE MELGAÇO,BARAO DE MELGACO
Região Metropolitana do Vale do Rio Cuiabá,Cuiabá,MATO GROSSO,JANGADA,JANGADA
Região Metropolitana do Vale do Rio Cuiabá,Cuiabá,MATO GROSSO,NOBRES,NOBRES
Região Metropolitana do Vale do Rio Cuiabá,Cuiabá,MATO GROSSO,NOVA BRASILÂNDIA,NOVA BRASILANDIA
Região Metropolitana do Vale do Rio Cuiabá,Cuiabá,MATO GROSSO,PLANALTO DA SERRA,PLANALTO DA SERRA
Região Metropolitana do Vale do Rio Cuiabá,Cuiabá,MATO GROSSO,POCONÉ,POCONE
Região Metropolitana do Vale do Rio Cuiabá,Cuiabá,MATO GROSSO,ROSÁRIO OESTE,ROSARIO OESTE
Região Metropolitana do Vale do Rio Cuiabá,Cuiabá,MATO GROSSO,ACORIZAL,ACORIZAL
Região Metropolitana do Vale do Rio Cuiabá,Cuiabá,MATO GROSSO,CHAPADA DOS GUIMARÃES,CHAPADA DOS GUIMARAES
Região Metropolitana do Vale do Rio Cuiabá,Cuiabá,MATO GROSSO,CUIABÁ,CUIABA
Região Metropolitana do Vale do Rio Cuiabá,Cuiabá,MATO GROSSO,NOSSA SENHORA DO LIVRAMENTO,NOSSA SENHORA DO LIVRAMENTO
Região Metropolitana do Vale do Rio Cuiabá,Cuiabá,MATO GROSSO,SANTO ANTÔNIO DO LEVERGER,SANTO ANTONIO DO LEVERGER
Região Metropolitana do Vale do Rio Cuiabá,Cuiabá,MATO GROSSO,VÁRZEA GRANDE,VARZEA GRANDE
Campo Grande,Campo Grande,MATO GROSSO DO SUL,CAMPO GRANDE,CAMPO GRANDE
Região Metropolitana de Maceió,Maceió,ALAGOAS,BARRA DE SANTO ANTÔNIO,BARRA DE SANTO ANTONIO
Região Metropolitana de Maceió,Maceió,ALAGOAS,BARRA DE SÃO MIGUEL,BARRA DE SAO MIGUEL
Região Metropolitana de Maceió,Maceió,ALAGOAS,COQUEIRO SECO,COQUEIRO SECO
Região Metropolitana de Maceió,Maceió,ALAGOAS,MACEIÓ,MACEIO
Região Metropolitana de Maceió,Maceió,ALAGOAS,MARECHAL DEODORO,MARECHAL DEODORO
Região Metropolitana de Maceió,Maceió,ALAGOAS,MESSIAS,MESSIAS
Região Metropolitana de Maceió,Maceió,ALAGOAS,MURICI,MURICI
Região Metropolitana de Maceió,Maceió,ALAGOAS,PARIPUEIRA,PARIPUEIRA
Região Metropolitana de Maceió,Maceió,ALAGOAS,PILAR,PILAR
Região Metropolitana de Maceió,Maceió,ALAGOAS,RIO LARGO,RIO LARGO
Região Metropolitana de Maceió,Maceió,ALAGOAS,SANTA LUZIA DO NORTE,SANTA LUZIA DO NORTE
Região Metropolitana de Maceió,Maceió,ALAGOAS,SATUBA,SATUBA
Região Metropolitana de Salvador,Salvador,BAHIA,CAMAÇARI,CAMACARI
Região Metropolitana de Salvador,Salvador,BAHIA,CANDEIAS,CANDEIAS
Região Metropolitana de Salvador,Salvador,BAHIA,DIAS D'ÁVILA,DIAS D'AVILA
Região Metropolitana de Salvador,Salvador,BAHIA,ITAPARICA,ITAPARICA
Região Metropolitana de Salvador,Salvador,BAHIA,LAURO DE FREITAS,LAURO DE FREITAS
Região Metropolitana de Salvador,Salvador,BAHIA,MADRE DE DEUS,MADRE DE DEUS
Região Metropolitana de Salvador,Salvador,BAHIA,MATA DE SÃO JOÃO,MATA DE SAO JOAO
Região Metropolitana de Salvador,Salvador,BAHIA,POJUCA,POJUCA
Região Metropolitana de Salvador,Salvador,BAHIA,SALVADOR,SALVADOR
Região Metropolitana de Salvador,Salvador,BAHIA,SÃO FRANCISCO DO CONDE,SAO FRANCISCO DO CONDE
Região Metropolitana de Salvador,Salvador,BAHIA,SÃO SEBASTIÃO DO PASSÉ,SAO SEBASTIAO DO PASSE
Região Metropolitana de Salvador,Salvador,BAHIA,SIMÕES FILHO,SIMOES FILHO
Região Metropolitana de Salvador,Salvador,BAHIA,VERA CRUZ,VERA CRUZ
Região Metropolitana de Fortaleza,Fortaleza,CEARA,AQUIRAZ,AQUIRAZ
Região Metropolitana de Fortaleza,Fortaleza,CEARA,CASCAVEL,CASCAVEL
Região Metropolitana de Fortaleza,Fortaleza,CEARA,CAUCAIA,CAUCAIA
Região Metropolitana de Fortaleza,Fortaleza,CEARA,CHOROZINHO,CHOROZINHO
Região Metropolitana de Fortaleza,Fortaleza,CEARA,EUSÉBIO,EUSEBIO
Região Metropolitana de Fortaleza,Fortaleza,CEARA,FORTALEZA,FORTALEZA
Região Metropolitana de Fortaleza,Fortaleza,CEARA,GUAIÚBA,GUAIUBA
Região Metropolitana de Fortaleza,Fortaleza,CEARA,HORIZONTE,HORIZONTE
Região Metropolitana de Fortaleza,Fortaleza,CEARA,ITAITINGA,ITAITINGA
Região Metropolitana de Fortaleza,Fortaleza,CEARA,MARACANAÚ,MARACANAU
Região Metropolitana de Fortaleza,Fortaleza,CEARA,MARANGUAPE,MARANGUAPE
Região Metropolitana de Fortaleza,Fortaleza,CEARA,PACAJUS,PACAJUS
Região Metropolitana de Fortaleza,Fortaleza,CEARA,PACATUBA,PACATUBA
Região Metropolitana de Fortaleza,Fortaleza,CEARA,PARACURU,PARACURU
Região Metropolitana de Fortaleza,Fortaleza,CEARA,PARAIPABA,PARAIPABA
Região Metropolitana de Fortaleza,Fortaleza,CEARA,PINDORETAMA,PINDORETAMA
Região Metropolitana de Fortaleza,Fortaleza,CEARA,SÃO GONÇALO DO AMARANTE,SAO GONCALO DO AMARANTE
Região Metropolitana de Fortaleza,Fortaleza,CEARA,SÃO LUÍS DO CURU,SAO LUIS DO CURU
Região Metropolitana de Fortaleza,Fortaleza,CEARA,TRAIRI,TRAIRI
Região Metropolitana da Grande São Luís,São Luís,MARANHAO,ALCÂNTARA,ALCANTARA
Região Metropolitana da Grande São Luís,São Luís,MARANHAO,AXIXÁ,AXIXA
Região Metropolitana da Grande São Luís,São Luís,MARANHAO,BACABEIRA,BACABEIRA
Região Metropolitana da Grande São Luís,São Luís,MARANHAO,CACHOEIRA GRANDE,CACHOEIRA GRANDE
Região Metropolitana da Grande São Luís,São Luís,MARANHAO,ICATU,ICATU
Região Metropolitana da Grande São Luís,São Luís,MARANHAO,MORROS,MORROS
Região Metropolitana da Grande São Luís,São Luís,MARANHAO,PAÇO DO LUMIAR,PACO DO LUMIAR
Região Metropolitana da Grande São Luís,São Luís,MARANHAO,PRESIDENTE JUSCELINO,PRESIDENTE JUSCELINO
Região Metropolitana da Grande São Luís,São Luís,MARANHAO,RAPOSA,RAPOSA
Região Metropolitana da Grande São Luís,São Luís,MARANHAO,ROSÁRIO,ROSARIO
Região Metropolitana da Grande São Luís,São Luís,MARANHAO,SANTA RITA,SANTA RITA
Região Metropolitana da Grande São Luís,São Luís,MARANHAO,SÃO JOSÉ DE RIBAMAR,SAO JOSE DE RIBAMAR
Região Metropolitana da Grande São Luís,São Luís,MARANHAO,SÃO LUÍS,SAO LUIS
Região Metropolitana de João Pessoa,João Pessoa,PARAIBA,ALHANDRA,ALHANDRA
Região Metropolitana de João Pessoa,João Pessoa,PARAIBA,BAYEUX,BAYEUX
Região Metropolitana de João Pessoa,João Pessoa,PARAIBA,CAAPORÃ,CAAPORA
Região Metropolitana de João Pessoa,João Pessoa,PARAIBA,CABEDELO,CABEDELO
Região Metropolitana de João Pessoa,João Pessoa,PARAIBA,CONDE,CONDE
Região Metropolitana de João Pessoa,João Pessoa,PARAIBA,CRUZ DO ESPÍRITO SANTO,CRUZ DO ESPIRITO SANTO
Região Metropolitana de João Pessoa,João Pessoa,PARAIBA,JOÃO PESSOA,JOAO PESSOA
Região Metropolitana de João Pessoa,João Pessoa,PARAIBA,LUCENA,LUCENA
Região Metropolitana de João Pessoa,João Pessoa,PARAIBA,PEDRAS DE FOGO,PEDRAS DE FOGO
Região Metropolitana de João Pessoa,João Pessoa,PARAIBA,PITIMBU,PITIMBU
Região Metropolitana de João Pessoa,João Pessoa,PARAIBA,RIO TINTO,RIO TINTO
Região Metropolitana de João Pessoa,João Pessoa,PARAIBA,SANTA RITA,SANTA RITA
Região Metropolitana de Recife,Recife,PERNAMBUCO,ABREU E LIMA,ABREU E LIMA
Região Metropolitana de Recife,Recife,PERNAMBUCO,ARAÇOIABA,ARACOIABA
Região Metropolitana de Recife,Recife,PERNAMBUCO,CABO DE SANTO AGOSTINHO,CABO DE SANTO AGOSTINHO
Região Metropolitana de Recife,Recife,PERNAMBUCO,CAMARAGIBE,CAMARAGIBE
Região Metropolitana de Recife,Recife,PERNAMBUCO,GOIANA,GOIANA
Região Metropolitana de Recife,Recife,PERNAMBUCO,IGARASSU,IGARASSU
Região Metropolitana de Recife,Recife,PERNAMBUCO,ILHA DE ITAMARACÁ,ILHA DE ITAMARACA
Região Metropolitana de Recife,Recife,PERNAMBUCO,IPOJUCA,IPOJUCA
Região Metropolitana de Recife,Recife,PERNAMBUCO,ITAPISSUMA,ITAPISSUMA
Região Metropolitana de Recife,Recife,PERNAMBUCO,JABOATÃO DOS GUARARAPES,JABOATAO DOS GUARARAPES
Região Metropolitana de Recife,Recife,PERNAMBUCO,MORENO,MORENO
Região Metropolitana de Recife,Recife,PERNAMBUCO,OLINDA,OLINDA
Região Metropolitana de Recife,Recife,PERNAMBUCO,PAULISTA,PAULISTA
Região Metropolitana de Recife,Recife,PERNAMBUCO,RECIFE,RECIFE
Região Metropolitana de Recife,Recife,PERNAMBUCO,SÃO LOURENÇO DA MATA,SAO LOURENCO DA MATA
Região Integrada de Desenvolvimento da Grande Teresina,Teresina,PIAUI,ALTOS,ALTOS
Região Integrada de Desenvolvimento da Grande Teresina,Teresina,PIAUI,BENEDITINOS,BENEDITINOS
Região Integrada de Desenvolvimento da Grande Teresina,Teresina,PIAUI,COIVARAS,COIVARAS
Região Integrada de Desenvolvimento da Grande Teresina,Teresina,PIAUI,CURRALINHOS,CURRALINHOS
Região Integrada de Desenvolvimento da Grande Teresina,Teresina,PIAUI,DEMERVAL LOBÃO,DEMERVAL LOBAO
Região Integrada de Desenvolvimento da Grande Teresina,Teresina,PIAUI,JOSÉ DE FREITAS,JOSE DE FREITAS
Região Integrada de Desenvolvimento da Grande Teresina,Teresina,PIAUI,LAGOA ALEGRE,LAGOA ALEGRE
Região Integrada de Desenvolvimento da Grande Teresina,Teresina,PIAUI,LAGOA DO PIAUÍ,LAGOA DO PIAUI
Região Integrada de Desenvolvimento da Grande Teresina,Teresina,PIAUI,MIGUEL LEÃO,MIGUEL LEAO
Região Integrada de Desenvolvimento da Grande Teresina,Teresina,PIAUI,MONSENHOR GIL,MONSENHOR GIL
Região Integrada de Desenvolvimento da Grande Teresina,Teresina,PIAUI,NAZÁRIA,NAZARIA
Região Integrada de Desenvolvimento da Grande Teresina,Teresina,PIAUI,TERESINA,TERESINA
Região Integrada de Desenvolvimento da Grande Teresina,Teresina,PIAUI,TIMON,TIMON
Região Integrada de Desenvolvimento da Grande Teresina,Teresina,PIAUI,UNIÃO,UNIAO
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,ARÊS,ARES
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,BOM JESUS,BOM JESUS
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,CEARÁ-MIRIM,CEARA-MIRIM
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,EXTREMOZ,EXTREMOZ
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,GOIANINHA,GOIANINHA
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,IELMO MARINHO,IELMO MARINHO
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,MACAÍBA,MACAIBA
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,MAXARANGUAPE,MAXARANGUAPE
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,MONTE ALEGRE,MONTE ALEGRE
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,NATAL,NATAL
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,NÍSIA FLORESTA,NISIA FLORESTA
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,PARNAMIRIM,PARNAMIRIM
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,SÃO GONÇALO DO AMARANTE,SAO GONCALO DO AMARANTE
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,SÃO JOSÉ DE MIPIBU,SAO JOSE DE MIPIBU
Região Metropolitana de Natal,Natal,RIO GRANDE DO NORTE,VERA CRUZ,VERA CRUZ
Região Metropolitana de Aracaju,Aracaju,SERGIPE,ARACAJU,ARACAJU
Região Metropolitana de Aracaju,Aracaju,SERGIPE,BARRA DOS COQUEIROS,BARRA DOS COQUEIROS
Região Metropolitana de Aracaju,Aracaju,SERGIPE,NOSSA SENHORA DO SOCORRO,NOSSA SENHORA DO SOCORRO
Região Metropolitana de Aracaju,Aracaju,SERGIPE,SÃO CRISTÓVÃO,SAO CRISTOVAO
Região Metropolitana de Macapá,Macapá,AMAPA,MACAPÁ,MACAPA
Região Metropolitana de Macapá,Macapá,AMAPA,MAZAGÃO,MAZAGAO
Região Metropolitana de Macapá,Macapá,AMAPA,SANTANA,SANTANA
Região Metropolitana de Manaus,Manaus,AMAZONAS,AUTAZES,AUTAZES
Região Metropolitana de Manaus,Manaus,AMAZONAS,CAREIRO,CAREIRO
Região Metropolitana de Manaus,Manaus,AMAZONAS,CAREIRO DA VÁRZEA,CAREIRO DA VARZEA
Região Metropolitana de Manaus,Manaus,AMAZONAS,IRANDUBA,IRANDUBA
Região Metropolitana de Manaus,Manaus,AMAZONAS,ITACOATIARA,ITACOATIARA
Região Metropolitana de Manaus,Manaus,AMAZONAS,ITAPIRANGA,ITAPIRANGA
Região Metropolitana de Manaus,Manaus,AMAZONAS,MANACAPURU,MANACAPURU
Região Metropolitana de Manaus,Manaus,AMAZONAS,MANAQUIRI,MANAQUIRI
Região Metropolitana de Manaus,Manaus,AMAZONAS,MANAUS,MANAUS
Região Metropolitana de Manaus,Manaus,AMAZONAS,NOVO AIRÃO,NOVO AIRAO
Região Metropolitana de Manaus,Manaus,AMAZONAS,PRESIDENTE FIGUEIREDO,PRESIDENTE FIGUEIREDO
Região Metropolitana de Manaus,Manaus,AMAZONAS,RIO PRETO DA EVA,RIO PRETO DA EVA
Região Metropolitana de Manaus,Manaus,AMAZONAS,SILVES,SILVES
Região Metropolitana de Porto Velho,Porto Velho,RONDONIA,PORTO VELHO,PORTO VELHO
Região Metropolitana de Porto Velho,Porto Velho,RONDONIA,CANDEIAS DO JAMARI,CANDEIAS DO JAMARI
Rio Branco,Rio Branco,ACRE,RIO BRANCO,RIO BRANCO
Região Metropolitana da Capital,Boa Vista,RORAIMA,ALTO ALEGRE,ALTO ALEGRE
Região Metropolitana da Capital,Boa Vista,RORAIMA,BOA VISTA,BOA VISTA
Região Metropolitana da Capital,Boa Vista,RORAIMA,BONFIM,BONFIM
Região Metropolitana da Capital,Boa Vista,RORAIMA,CANTÁ,CANTA
Região Metropolitana da Capital,Boa Vista,RORAIMA,MUCAJAÍ,MUCAJAI
